ID;id_almacen;descarga;id_cliente
54;82;245916;5
50;76;245916;5
60;97;32787;2
44;40;135757;9
57;22;21164;7
60;84;32787;2
55;24;245916;5
55;24;245916;5
60;94;32787;2
45;84;135757;9
60;92;32787;2
45;54;135757;9
47;86;135757;9
55;21;245916;5
51;21;135757;3
59;26;32787;2
47;19;135757;9
49;19;135757;9
50;26;135757;9
50;26;135757;9
61;77;32787;2
61;77;32787;2
49;85;135757;9
49;85;135757;9
49;25;135757;9
44;25;135757;9
47;83;135757;9
49;83;135757;9
50;21;135757;9
48;21;135757;9
52;60;135757;3
53;11;135757;3
52;16;135757;3
54;18;245916;5
54;18;245916;5
51;18;135757;9
51;18;135757;9
58;18;21164;7
60;18;32787;2
61;18;32787;2
56;58;135757;4
56;5;135757;4
56;47;135757;4
56;102;135757;4
53;51;135757;3
53;50;135757;3
53;49;135757;3
53;64;135757;3
53;14;135757;3
52;67;135757;3
52;68;135757;3
52;71;135757;3
47;40;135757;3
52;40;135757;3
52;25;135757;3
52;73;135757;3
51;38;135757;3
55;81;245916;5
53;22;245916;5
55;27;245916;5
48;16;135757;9
48;27;135757;9
44;28;135757;9
51;28;135757;9
50;29;135757;9
47;29;135757;9
47;75;135757;9
59;16;32787;2
61;16;32787;2
61;16;32787;2
61;16;32787;2
59;32;32787;2
60;93;32787;2
60;94;32787;2
57;16;21164;7
58;16;21164;7
57;88;21164;7
57;97;21164;7
57;28;21164;7
58;28;21164;7
57;100;21164;7
58;98;21164;7
58;99;21164;7
55;76;245916;5
70;47;135757;4
69;51;135757;3
69;50;135757;3
69;49;135757;3
69;11;135757;3
70;60;135757;3
70;62;135757;3
68;64;135757;3
68;14;135757;3
70;67;135757;3
67;71;135757;3
67;40;135757;3
67;16;135757;3
68;21;135757;3
67;73;135757;3
70;23;245916;5
70;81;245916;5
71;81;245916;5
71;18;245916;5
73;18;245916;5
71;24;245916;5
71;24;245916;5
73;27;245916;5
69;79;245916;5
66;18;135757;9
64;18;135757;9
64;16;135757;9
64;16;135757;9
65;19;135757;9
65;19;135757;9
67;26;135757;9
67;26;135757;9
66;27;135757;9
67;27;135757;9
66;28;135757;9
65;29;135757;9
66;29;135757;9
66;86;135757;9
63;87;135757;9
63;54;135757;9
63;85;135757;9
63;85;135757;9
63;36;135757;9
66;40;135757;9
66;40;135757;9
66;75;135757;9
74;16;32787;2
74;16;32787;2
74;16;32787;2
74;16;32787;2
74;16;32787;2
74;26;32787;2
74;32;32787;2
75;77;32787;2
74;77;32787;2
74;18;32787;2
75;18;32787;2
75;95;32787;2
75;36;32787;2
75;84;32787;2
72;16;21164;7
72;16;21164;7
72;29;21164;7
72;28;21164;7
72;22;21164;7
70;68;135757;3
69;50;135757;3
69;49;135757;3
70;64;135757;3
68;67;135757;3
68;71;135757;3
67;40;135757;3
68;16;135757;3
70;60;135757;3
65;55;135757;9
65;55;135757;9
72;103;21164;7
72;100;21164;7
90;42;135757;4
90;47;135757;4
84;51;135757;3
84;50;135757;3
84;50;135757;3
84;49;135757;3
84;11;135757;3
85;60;135757;3
85;63;135757;3
85;64;135757;3
84;14;135757;3
84;14;135757;3
85;67;135757;3
85;67;135757;3
85;68;135757;3
87;71;135757;3
87;40;135757;3
87;40;135757;3
79;25;135757;3
83;16;135757;3
86;16;135757;3
87;21;135757;3
87;73;135757;3
82;38;135757;3
76;82;245916;5
76;76;245916;5
77;81;245916;5
76;18;245916;5
76;18;245916;5
77;24;245916;5
77;24;245916;5
76;27;245916;5
80;25;135757;9
80;25;135757;9
79;18;135757;9
79;18;135757;9
78;16;135757;9
83;16;135757;9
82;19;135757;9
82;19;135757;9
79;26;135757;9
79;26;135757;9
79;27;135757;9
78;21;135757;9
83;21;135757;9
83;28;135757;9
81;28;135757;9
77;29;135757;9
80;83;135757;9
83;84;135757;9
77;85;135757;9
79;86;135757;9
82;54;135757;9
83;87;135757;9
79;40;135757;9
79;40;135757;9
81;35;135757;9
81;75;135757;9
92;16;32787;2
91;16;32787;2
92;16;32787;2
92;16;32787;2
92;28;32787;2
91;26;32787;2
91;32;32787;2
92;77;32787;2
91;18;32787;2
92;95;32787;2
92;87;32787;2
88;16;21164;7
90;16;21164;7
89;29;21164;7
89;26;21164;7
90;28;21164;7
90;28;21164;7
89;98;21164;7
89;99;21164;7
89;66;21164;7
88;18;21164;7
82;22;135757;9
82;22;135757;9
82;104;135757;3
83;52;135757;9
77;31;135757;9
90;50;135757;4
107;47;135757;4
102;51;135757;3
102;51;135757;3
103;50;135757;3
103;50;135757;3
103;49;135757;3
103;49;135757;3
103;11;135757;3
102;60;135757;3
102;62;135757;3
102;64;135757;3
102;64;135757;3
102;14;135757;3
102;14;135757;3
102;105;135757;3
102;67;135757;3
102;67;135757;3
102;68;135757;3
104;71;135757;3
105;40;135757;3
104;40;135757;3
103;104;135757;3
104;16;135757;3
105;16;135757;3
104;21;135757;3
105;21;135757;3
105;38;135757;3
104;23;245916;5
107;76;245916;5
107;81;245916;5
107;18;245916;5
106;18;245916;5
104;22;245916;5
106;24;245916;5
107;24;245916;5
104;27;245916;5
101;25;135757;9
100;18;135757;9
100;18;135757;9
97;16;135757;9
101;16;135757;9
101;19;135757;9
101;26;135757;9
99;26;135757;9
96;27;135757;9
104;28;135757;9
99;28;135757;9
100;29;135757;9
96;29;135757;9
98;83;135757;9
100;84;135757;9
98;86;135757;9
98;54;135757;9
96;85;135757;9
104;36;135757;9
114;36;135757;9
98;40;135757;9
96;35;135757;9
96;35;135757;9
109;16;32787;2
109;16;32787;2
109;16;32787;2
109;16;32787;2
109;26;32787;2
109;32;32787;2
110;77;32787;2
110;77;32787;2
110;50;32787;2
110;18;32787;2
110;18;32787;2
108;16;21164;7
108;16;21164;7
107;96;21164;7
108;90;21164;7
107;28;21164;7
108;100;21164;7
108;22;21164;7
108;98;21164;7
108;99;21164;7
108;18;21164;7
111;16;135757;4
114;29;135757;9
114;29;135757;9
114;76;245916;5
114;24;245916;5
136;28;135757;9
136;28;135757;9
136;27;245916;5
137;35;135757;9
137;35;135757;9
137;85;135757;9
140;28;135757;9
140;28;135757;9
140;27;245916;5
141;35;135757;9
141;35;135757;9
141;78;245916;5
141;85;135757;9
144;28;135757;9
147;50;32787;2
146;54;135757;9
148;18;135757;9
148;18;245916;5
149;28;135757;9
149;28;135757;9
150;82;245916;5
150;23;245916;5
150;23;245916;5
150;76;245916;5
150;39;245916;5
150;81;245916;5
150;24;245916;5
150;24;245916;5
150;22;245916;5
151;54;135757;9
151;54;135757;9
151;19;135757;9
151;19;135757;9
152;97;21164;7
152;100;21164;7
152;101;21164;7
152;99;21164;7
153;28;135757;9
153;28;135757;9
154;54;135757;9
155;50;32787;2
156;18;32787;2
156;16;32787;2
156;16;32787;2
156;36;32787;2
156;28;32787;2
156;16;32787;2
157;77;32787;2
157;32;32787;2
157;16;32787;2
157;16;32787;2
157;16;32787;2
157;16;32787;2
158;35;135757;9
158;35;135757;9
158;59;135757;4
158;19;135757;9
158;19;135757;9
159;27;135757;9
159;27;135757;9
159;27;245916;5
159;24;245916;5
159;39;245916;5
160;26;135757;9
160;26;135757;9
160;87;135757;9
160;87;135757;9
160;18;135757;9
160;18;135757;9
160;36;135757;9
161;51;135757;3
161;50;135757;3
161;50;135757;4
161;49;135757;3
161;11;135757;3
161;14;135757;3
161;68;135757;3
162;60;135757;3
162;64;135757;3
162;62;135757;3
162;67;135757;3
162;39;245916;5
163;16;135757;3
163;40;135757;3
163;21;135757;3
163;71;135757;3
163;21;135757;9
163;28;135757;9
164;29;135757;9
164;29;135757;9
164;85;135757;9
164;85;135757;9
165;75;135757;9
165;83;135757;9
165;83;135757;9
165;25;135757;9
165;19;135757;9
166;51;135757;3
166;50;135757;3
166;50;135757;4
168;29;135757;3
166;49;135757;3
166;11;135757;3
167;60;135757;3
167;63;135757;3
167;47;135757;4
167;47;135757;4
167;64;135757;3
167;67;135757;3
167;68;135757;3
168;14;135757;3
168;16;135757;3
169;73;135757;3
169;104;135757;3
169;21;135757;3
169;71;135757;3
169;42;135757;4
169;29;135757;3
170;25;135757;9
170;43;135757;4
170;25;135757;9
170;25;135757;9
170;16;135757;9
170;16;135757;9
171;24;245916;5
171;24;245916;5
173;16;135757;9
174;28;135757;9
174;28;135757;9
175;18;245916;5
175;18;135757;9
175;25;135757;9
176;28;135757;9
176;28;135757;9
176;29;135757;9
176;29;135757;9
176;84;135757;9
176;26;135757;9
176;22;135757;9
176;22;135757;9
177;75;135757;9
177;19;135757;9
177;18;135757;9
178;39;245916;5
178;27;245916;5
178;81;245916;5
178;76;245916;5
178;23;245916;5
178;23;245916;5
179;54;135757;9
179;85;135757;9
179;85;135757;9
180;25;135757;9
180;25;135757;9
180;40;135757;9
180;40;135757;9
180;40;135757;3
181;59;135757;4
181;19;135757;9
181;21;135757;9
181;21;135757;9
182;18;21164;7
183;18;21164;7
202;18;135757;9
186;27;135757;9
187;27;135757;9
187;27;245916;5
187;19;135757;9
187;19;135757;9
188;16;135757;9
188;16;135757;9
188;35;135757;9
188;35;135757;9
190;83;135757;9
190;83;135757;9
190;25;135757;9
190;38;135757;3
191;54;135757;9
191;23;245916;5
191;23;245916;5
191;81;245916;5
191;85;135757;9
192;18;135757;9
192;18;135757;9
192;18;245916;5
193;39;245916;5
193;24;245916;5
193;24;245916;5
194;29;135757;9
194;29;135757;9
194;29;135757;3
194;86;135757;9
194;16;135757;9
194;19;135757;9
195;75;135757;9
195;36;135757;9
195;71;135757;3
195;42;135757;4
195;104;135757;3
195;26;135757;9
195;26;135757;9
196;51;135757;3
196;50;135757;3
196;50;135757;4
196;14;135757;3
196;11;135757;3
196;69;135757;3
197;28;135757;9
197;28;135757;9
197;21;135757;3
198;60;135757;3
198;62;135757;3
198;47;135757;4
198;67;135757;3
198;16;135757;3
198;40;135757;3
198;40;135757;9
199;73;135757;3
200;59;135757;4
201;49;135757;3
201;64;135757;3
203;18;21164;7
204;18;21164;7
273;16;21164;7
205;16;21164;7
273;66;21164;7
273;98;21164;7
205;88;21164;7
206;50;32787;2
207;16;32787;2
207;16;32787;2
207;32;32787;2
207;84;32787;2
207;95;32787;2
208;18;32787;2
209;16;32787;2
209;16;32787;2
209;16;32787;2
209;77;32787;2
209;36;32787;2
210;18;32787;2
210;26;32787;2
185;85;135757;9
226;76;245916;5
226;23;245916;5
226;26;135757;9
211;84;135757;9
235;95;32787;2
230;103;21164;7
225;25;135757;9
225;25;135757;9
205;66;21164;7
205;56;21164;7
230;22;21164;7
222;47;135757;4
227;24;245916;5
227;24;245916;5
227;27;245916;5
216;28;135757;9
216;28;135757;9
230;28;21164;7
234;28;32787;2
222;40;135757;9
222;40;135757;9
226;82;245916;5
231;66;21164;7
227;36;135757;9
222;71;135757;3
219;73;135757;3
212;19;135757;9
212;19;135757;9
214;21;135757;9
214;21;135757;9
212;54;135757;9
212;54;135757;9
215;85;135757;9
215;85;135757;9
222;60;135757;3
221;11;135757;3
222;63;135757;3
214;21;135757;3
229;99;21164;7
222;67;135757;3
222;64;135757;3
221;51;135757;3
221;50;135757;3
233;18;32787;2
232;18;32787;2
218;18;245916;5
227;18;135757;9
218;18;135757;9
229;18;21164;7
213;18;21164;7
226;81;245916;5
221;68;135757;3
224;16;135757;3
223;104;135757;3
221;49;135757;3
221;14;135757;3
229;16;21164;7
229;16;21164;7
231;19;21164;7
231;56;21164;7
224;28;135757;9
224;28;135757;9
234;77;32787;2
211;16;135757;9
211;16;135757;9
217;29;135757;9
218;18;135757;9
220;38;135757;3
222;40;135757;3
223;35;135757;9
225;85;135757;9
225;75;135757;9
226;39;245916;5
227;106;245916;5
216;28;135757;3
234;16;32787;2
234;16;32787;2
234;16;32787;2
235;16;32787;2
235;16;32787;2
235;32;32787;2
274;87;32787;2
241;87;135757;9
274;84;32787;2
266;83;135757;9
243;40;135757;9
240;39;245916;5
240;106;245916;5
240;80;245916;5
240;23;245916;5
241;81;245916;5
240;24;245916;5
240;24;245916;5
243;40;135757;9
268;40;135757;3
264;50;135757;3
272;28;21164;7
272;28;21164;7
242;19;135757;9
242;19;135757;9
266;26;135757;9
266;86;135757;9
266;43;135757;9
275;26;32787;2
242;36;135757;9
264;50;135757;4
266;43;135757;4
265;47;135757;4
242;59;135757;4
267;60;135757;3
265;11;135757;3
265;63;135757;3
267;28;135757;3
244;29;135757;9
269;35;135757;9
269;35;135757;9
271;18;21164;7
243;85;135757;9
268;40;135757;3
270;27;135757;9
244;27;135757;9
244;27;245916;5
272;22;21164;7
264;51;135757;3
264;51;135757;3
238;18;135757;9
272;18;21164;7
274;18;32787;2
268;21;135757;3
268;21;135757;3
269;67;135757;3
265;64;135757;3
265;64;135757;3
268;25;135757;3
265;68;135757;3
267;16;135757;3
267;16;135757;3
267;71;135757;3
268;104;135757;3
269;38;135757;3
269;73;135757;3
274;16;32787;2
275;32;32787;2
275;77;32787;2
239;50;32787;2
241;22;135757;9
269;16;135757;9
237;16;135757;9
244;16;135757;9
237;16;135757;9
269;14;135757;3
266;54;135757;9
274;16;32787;2
275;95;32787;2
275;95;32787;2
264;49;135757;3
264;49;135757;3
272;16;21164;7
272;16;21164;7
273;26;21164;7
273;56;21164;7
236;28;135757;9
236;28;135757;9
241;28;135757;9
241;28;135757;9
238;18;135757;9
238;18;135757;9
262;103;32787;2
250;23;245916;5
250;23;245916;5
250;82;245916;5
255;75;135757;9
255;75;135757;9
252;84;135757;9
250;76;245916;5
250;24;245916;5
250;24;245916;5
253;50;135757;3
250;106;245916;5
252;43;135757;9
255;40;135757;9
256;86;135757;9
263;32;32787;2
260;99;21164;7
251;27;245916;5
255;36;135757;9
260;97;21164;7
262;28;32787;2
245;28;135757;9
245;28;135757;9
257;28;135757;3
256;25;135757;9
256;25;135757;9
254;42;135757;4
253;50;135757;4
248;59;135757;4
247;35;135757;4
252;21;135757;9
252;21;135757;9
252;21;135757;3
246;18;245916;5
246;18;135757;9
246;18;135757;9
259;18;21164;7
258;18;21164;7
261;18;32787;2
251;81;245916;5
255;40;135757;3
259;22;21164;7
260;101;21164;7
260;28;21164;7
260;100;21164;7
254;67;135757;3
254;60;135757;3
253;11;135757;3
254;64;135757;3
252;29;135757;3
253;51;135757;3
253;68;135757;3
254;16;135757;3
254;71;135757;3
254;104;135757;3
249;73;135757;3
253;49;135757;3
253;14;135757;3
247;85;135757;9
247;85;135757;9
247;35;135757;9
251;39;245916;5
251;22;245916;5
251;22;135757;9
251;54;135757;9
252;29;135757;9
252;29;135757;9
256;26;135757;9
256;26;135757;9
257;16;135757;9
257;16;135757;9
257;28;135757;9
257;19;135757;9
259;16;21164;7
259;16;21164;7
259;56;21164;7
261;16;32787;2
261;16;32787;2
261;16;32787;2
261;77;32787;2
262;16;32787;2
262;16;32787;2
262;28;32787;2
262;26;32787;2
286;87;135757;9
